nctid,neoplasm_category,neoplasm
NCT05061134,Neoplasms by Site,Skin Neoplasms
NCT05061134,Neoplasms by Histologic Type,Melanoma
NCT02857634,Neoplasms by Site,Urinary Bladder Neoplasms
NCT00180934,Neoplasms by Site,Head and Neck Neoplasms
NCT04423913,Neoplasms by Site,Prostatic Neoplasms
NCT04420013,Neoplasms by Site,Colorectal Neoplasms
NCT03417336,Neoplasms by Histologic Type,Adenocarcinoma
NCT02871336,Neoplasms by Site,Pancreatic Neoplasms
NCT06140836,Neoplasms by Site,Lung Neoplasms
NCT03656718,Neoplasms by Site,Neoplasms by Site
NCT05615818,Neoplasms by Site,Biliary Tract Neoplasms
NCT01999413,Neoplasms by Histologic Type,Leukemia
NCT05704413,Neoplasms by Site,Colorectal Neoplasms
NCT03000036,Neoplasms by Site,Breast Neoplasms
NCT02854436,Neoplasms by Site,Prostatic Neoplasms
NCT05944913,Neoplasms by Histologic Type,Sarcoma
NCT02487836,Neoplasms by Histologic Type,Adenocarcinoma
NCT02864836,Neoplasms by Site,Head and Neck Neoplasms
NCT00448136,Neoplasms by Site,Endocrine Gland Neoplasms
NCT03779113,Neoplasms by Histologic Type,Lymphoma
NCT05639413,Neoplasms by Site,Colorectal Neoplasms
NCT04813913,Neoplasms by Site,Colorectal Neoplasms
NCT01229436,Neoplasms by Histologic Type,Dupuytren Contracture
NCT04644913,Neoplasms by Histologic Type,Osteosarcoma
NCT03958136,Neoplasms by Site,Breast Neoplasms
NCT02145013,Neoplasms by Site,Liver Neoplasms
NCT02145013,Neoplasms by Histologic Type,Carcinoma
NCT04256213,Neoplasms by Site,Uterine Cervical Neoplasms
NCT04082936,Neoplasms by Histologic Type,Lymphoma
NCT01164436,Neoplasms by Histologic Type,"Lymphoma, AIDS-Related"
NCT05020236,Neoplasms by Histologic Type,Multiple Myeloma
NCT03556813,Neoplasms by Site,Breast Neoplasms
NCT01298713,Neoplasms by Site,Breast Neoplasms
NCT01298713,Neoplastic Processes,Neoplasm Metastasis
NCT06771336,Neoplasms by Site,Head and Neck Neoplasms
NCT03553836,Neoplasms by Site,Skin Neoplasms
NCT03553836,Neoplasms by Histologic Type,Melanoma
NCT03243019,Neoplasms by Histologic Type,Lymphangioma
NCT02598219,Neoplasms by Site,Endometrial Neoplasms
NCT02598219,Neoplasms by Histologic Type,Carcinoma
NCT03276819,Neoplasms by Site,Head and Neck Neoplasms
NCT03276819,Neoplasms by Histologic Type,Carcinoma
NCT03276819,Precancerous Conditions,Precancerous Conditions
NCT02066519,Neoplasms by Site,Myasthenia Gravis
NCT02066519,Paraneoplastic Syndromes,Paraneoplastic Syndromes
NCT00873119,Neoplasms by Histologic Type,Carcinoma
NCT00873119,Neoplastic Processes,"Neoplasms, Unknown Primary"
NCT06438419,Cysts,Ganglion Cysts
NCT04622319,Neoplasms by Site,Breast Neoplasms
NCT00347919,Neoplasms by Site,Breast Neoplasms
NCT04424719,Neoplasms by Site,Uveal Neoplasms
NCT04424719,Neoplasms by Histologic Type,Melanoma
NCT03870919,Neoplasms by Site,Breast Neoplasms
NCT06694519,Neoplasms by Site,Breast Neoplasms
NCT02013219,Neoplasms by Site,Lung Neoplasms
NCT01927419,Neoplasms by Site,Skin Neoplasms
NCT01927419,Neoplasms by Histologic Type,Melanoma
NCT06045819,Neoplasms by Histologic Type,Leukemia
NCT03968419,Neoplasms by Site,Lung Neoplasms
NCT03937219,Neoplasms by Site,Kidney Neoplasms
NCT03937219,Neoplasms by Histologic Type,Carcinoma
NCT03395379,Neoplasms by Site,Kidney Neoplasms
NCT03395379,Neoplasms by Histologic Type,"Carcinoma, Renal Cell"
NCT00276679,Neoplasms by Histologic Type,Neuroblastoma
NCT04695379,Neoplasms by Site,Myasthenia Gravis
NCT04695379,Paraneoplastic Syndromes,Paraneoplastic Syndromes
NCT05571579,Neoplasms by Site,Brain Neoplasms
NCT05650879,Neoplasms by Site,Lung Neoplasms
NCT00188084,Neoplasms by Histologic Type,Leukemia
NCT02088684,Neoplasms by Site,Breast Neoplasms
NCT01564784,Neoplasms by Histologic Type,Leukemia
NCT06078384,Neoplasms by Site,Breast Neoplasms
NCT01120184,Neoplasms by Site,Breast Neoplasms
NCT02576184,Neoplasms by Site,Rectal Neoplasms
NCT01510184,Neoplasms by Histologic Type,Lymphoma
NCT04802902,Neoplasms by Site,"Carcinoma, Bronchogenic"
NCT05918302,Neoplasms by Site,Lung Neoplasms
NCT05918302,Neoplasms by Histologic Type,Neuroendocrine Tumors
NCT01915602,Neoplasms by Site,Liver Neoplasms
NCT01915602,Neoplasms by Histologic Type,Carcinoma
NCT04739202,Neoplasms by Site,Stomach Neoplasms
NCT04739202,Neoplasms by Histologic Type,Adenocarcinoma
NCT02300402,Neoplasms by Histologic Type,Lymphoma
NCT00086879,Neoplasms by Site,Nervous System Neoplasms
NCT00086879,Neoplasms by Histologic Type,Glioblastoma
NCT02473484,Neoplasms by Histologic Type,Glioblastoma
NCT00609284,Neoplasms by Site,Head and Neck Neoplasms
NCT00609284,Neoplasms by Histologic Type,Squamous Cell Carcinoma of Head and Neck
NCT00254579,Neoplasms by Site,Skin Neoplasms
NCT00254579,Neoplasms by Histologic Type,Melanoma
NCT03416179,Neoplasms by Histologic Type,Leukemia
NCT05370079,Neoplasms by Histologic Type,Glioblastoma
NCT01677884,Neoplasms by Site,Colorectal Neoplasms
NCT06298084,Neoplasms by Site,Breast Neoplasms
NCT04925284,Neoplasms by Site,Breast Neoplasms
NCT04925284,Neoplasms by Histologic Type,"Carcinoma, Ovarian Epithelial"
NCT05069584,Neoplasms by Site,Prostatic Neoplasms
NCT03634202,Neoplasms by Site,Rectal Neoplasms
NCT01420679,Neoplasms by Histologic Type,Lymphoma
NCT04392479,Neoplasms by Site,Colorectal Neoplasms
NCT03106779,Neoplasms by Histologic Type,Leukemia
NCT06599879,Neoplasms by Site,Brain Neoplasms
NCT06559579,Neoplasms by Site,Hematologic Neoplasms
NCT04835584,Neoplasms by Histologic Type,Leukemia
NCT04450784,Neoplasms by Histologic Type,Leukemia
NCT02526784,Neoplasms by Site,Prostatic Neoplasms
NCT03631784,Neoplasms by Site,Lung Neoplasms
NCT01845779,Neoplastic Processes,Neoplasm Metastasis
NCT03867084,Neoplasms by Site,Liver Neoplasms
NCT03867084,Neoplasms by Histologic Type,Carcinoma
NCT01876784,Neoplasms by Site,Thyroid Neoplasms
NCT03291002,Neoplasms by Site,Skin Neoplasms
NCT03291002,Neoplasms by Histologic Type,Carcinoma
NCT00757302,Neoplasms by Site,Breast Neoplasms
NCT00757302,Neoplasms by Histologic Type,Carcinoma in Situ
NCT03840902,Neoplasms by Site,Lung Neoplasms
NCT02485379,Neoplasms by Site,Prostatic Neoplasms
NCT02355379,Neoplasms by Histologic Type,Adenocarcinoma
NCT05384184,Neoplasms by Site,Colorectal Neoplasms
NCT05384184,Neoplasms by Histologic Type,Carcinoma
NCT05384184,Neoplastic Processes,Neoplasm Metastasis
NCT01601184,Neoplasms by Histologic Type,Medulloblastoma
NCT04587284,Neoplasms by Site,Prostatic Neoplasms
NCT00210184,Neoplasms by Site,Stomach Neoplasms
NCT01796002,Neoplasms by Histologic Type,Lymphoma
NCT04367779,Neoplasms by Site,Brain Neoplasms
NCT04367779,Neoplasms by Histologic Type,Meningioma
NCT01480479,Neoplasms by Histologic Type,Glioblastoma
NCT05605379,Neoplasms by Histologic Type,"Leukemia, Myeloid"
NCT01668784,Neoplasms by Site,Kidney Neoplasms
NCT01668784,Neoplasms by Histologic Type,Carcinoma
NCT04306484,Neoplasms by Site,Brain Neoplasms
NCT00002884,Neoplasms by Site,Esophageal Neoplasms
NCT01879384,Neoplasms by Site,Head and Neck Neoplasms
NCT00557102,Neoplasms by Site,Colorectal Neoplasms
NCT04583384,Neoplasms by Histologic Type,Paraganglioma
NCT00004884,Neoplasms by Site,Pancreatic Neoplasms
NCT04273802,Precancerous Conditions,Preleukemia
NCT05199402,Hamartoma,Tuberous Sclerosis
NCT05199402,"Neoplasms, Multiple Primary","Neoplasms, Multiple Primary"
NCT05199402,"Neoplastic Syndromes, Hereditary","Neoplastic Syndromes, Hereditary"
NCT06600802,Neoplasms by Site,Prostatic Neoplasms
NCT00006479,Neoplasms by Site,Colorectal Neoplasms
NCT00006479,Neoplastic Processes,Neoplasm Metastasis
NCT01308684,Neoplasms by Histologic Type,Glioblastoma
NCT02054884,Neoplasms by Histologic Type,"Carcinoma, Merkel Cell"
NCT03293784,Neoplasms by Site,Skin Neoplasms
NCT03293784,Neoplasms by Histologic Type,Melanoma
NCT04116502,Neoplasms by Site,Polycythemia Vera
NCT03305302,Neoplasms by Site,Tongue Neoplasms
NCT00909402,Neoplasms by Site,Stomach Neoplasms
NCT00909402,Neoplasms by Histologic Type,Adenocarcinoma
NCT05183984,Neoplasms by Site,Ovarian Neoplasms
NCT05183984,Neoplasms by Histologic Type,"Carcinoma, Ovarian Epithelial"
NCT06439784,Neoplasms by Site,Prostatic Neoplasms
NCT04384484,Neoplasms by Histologic Type,Lymphoma
NCT03856684,Neoplasms by Site,Uterine Cervical Neoplasms
NCT02981784,Neoplasms by Histologic Type,Leukemia
NCT05168202,Neoplasms by Histologic Type,Leukemia
NCT05168202,Precancerous Conditions,Preleukemia
NCT05384821,Neoplasms by Site,Kidney Neoplasms
NCT05384821,Neoplasms by Histologic Type,Wilms Tumor
NCT05384821,"Neoplastic Syndromes, Hereditary","Neoplastic Syndromes, Hereditary"
NCT02197221,Neoplasms by Histologic Type,Multiple Myeloma
NCT00169221,Neoplasms by Site,Head and Neck Neoplasms
NCT05912764,Neoplasms by Histologic Type,Adenoma
NCT02458664,Neoplasms by Site,Rectal Neoplasms
NCT02303821,Neoplasms by Histologic Type,Leukemia
NCT02470364,Neoplasms by Site,Myasthenia Gravis
NCT02470364,Paraneoplastic Syndromes,Paraneoplastic Syndromes
NCT03800121,Neoplasms by Histologic Type,Sarcoma
NCT02654990,Neoplasms by Histologic Type,Multiple Myeloma
NCT03386721,Neoplasms by Site,Uterine Cervical Neoplasms
NCT02869321,Neoplasms by Site,Head and Neck Neoplasms
NCT06055621,Neoplasms by Histologic Type,Leukemia
NCT03936764,Neoplasms by Site,Lung Neoplasms
NCT00180921,Neoplasms by Site,Head and Neck Neoplasms
NCT00180921,Neoplasms by Histologic Type,Carcinoma
NCT04268121,Neoplasms by Histologic Type,Carcinoma
NCT02604121,Neoplasms by Site,Mouth Neoplasms
NCT01124864,Neoplasms by Site,Lung Neoplasms
NCT01208064,Neoplasms by Site,Lung Neoplasms
NCT03902964,Neoplasms by Site,Breast Neoplasms
NCT03691064,Neoplasms by Histologic Type,Neuroendocrine Tumors
NCT02405364,Neoplasms by Histologic Type,Multiple Myeloma
NCT02258464,Neoplasms by Site,Breast Neoplasms
NCT03511664,Neoplasms by Site,Prostatic Neoplasms
NCT05011721,Neoplasms by Site,Breast Neoplasms
NCT00600821,Neoplasms by Site,"Carcinoma, Non-Small-Cell Lung"
NCT01564121,Neoplasms by Site,Bone Neoplasms
NCT01564121,Neoplasms by Histologic Type,Giant Cell Tumors
NCT03652064,Neoplasms by Histologic Type,Multiple Myeloma
NCT06211764,Neoplasms by Site,Urinary Bladder Neoplasms
NCT06211764,Neoplasms by Histologic Type,Non-Muscle Invasive Bladder Neoplasms
NCT02838602,Neoplasms by Histologic Type,"Carcinoma, Adenoid Cystic"
NCT03125902,Neoplasms by Site,Breast Neoplasms
NCT00332202,Neoplasms by Histologic Type,Lymphoma
NCT01811121,Neoplasms by Histologic Type,Glioblastoma
NCT03960021,Neoplasms by Site,Rectal Neoplasms
NCT03960021,Neoplastic Processes,Neoplasm Metastasis
NCT01358721,Neoplasms by Site,Kidney Neoplasms
NCT01358721,Neoplasms by Histologic Type,Carcinoma
NCT03927521,Neoplasms by Site,Prostatic Neoplasms
NCT00556621,Neoplasms by Site,Urinary Bladder Neoplasms
NCT01670721,Neoplasms by Site,Colorectal Neoplasms
NCT04773821,Neoplasms by Site,Prostatic Neoplasms
NCT03000764,Neoplasms by Site,Breast Neoplasms
NCT04901364,Neoplasms by Histologic Type,"Neoplasms, Cystic, Mucinous, and Serous"
NCT02948790,Neoplasms by Site,Cranial Nerve Neoplasms
NCT02948790,Neoplasms by Histologic Type,Neuroma
NCT01218490,Neoplasms by Site,Ovarian Neoplasms
NCT01218490,Neoplasms by Histologic Type,"Carcinoma, Ovarian Epithelial"
NCT01659021,Neoplasms by Histologic Type,Leukemia
NCT00491621,Neoplasms by Site,Kidney Neoplasms
NCT03115164,Neoplasms by Histologic Type,Astrocytoma
NCT05191264,Neoplastic Processes,Neoplasm Metastasis
NCT06129864,Neoplasms by Site,Head and Neck Neoplasms
NCT06129864,Neoplasms by Histologic Type,Carcinoma
NCT00069121,Neoplasms by Site,Colorectal Neoplasms
NCT04538664,Neoplasms by Site,"Carcinoma, Non-Small-Cell Lung"
NCT00426764,Neoplasms by Histologic Type,Lymphoma
NCT00612664,Neoplasms by Site,Skin Neoplasms
NCT00612664,Neoplasms by Histologic Type,Melanoma
NCT01046864,Neoplasms by Site,Intestinal Neoplasms
NCT06662864,Neoplasms by Site,Breast Neoplasms
NCT01562990,Neoplasms by Histologic Type,Lymphoma
NCT00521521,Neoplasms by Site,Head and Neck Neoplasms
NCT01373164,Neoplasms by Site,Pancreatic Neoplasms
NCT01373164,Neoplastic Processes,Neoplasm Metastasis
NCT00480064,Neoplasms by Histologic Type,Leukemia
NCT05067764,Neoplasms by Histologic Type,Dupuytren Contracture
NCT01429064,Neoplasms by Site,Prostatic Neoplasms
NCT01442090,Neoplasms by Site,Kidney Neoplasms
NCT01442090,Neoplasms by Histologic Type,Carcinoma
NCT00002990,Neoplasms by Site,Urinary Bladder Neoplasms
NCT04274790,Neoplasms by Site,Colonic Neoplasms
NCT04274790,Neoplastic Processes,Neoplasm Metastasis
NCT04811703,Neoplasms by Site,Ovarian Neoplasms
NCT04811703,Neoplasms by Histologic Type,"Carcinoma, Ovarian Epithelial"
NCT04345003,Neoplasms by Histologic Type,Leiomyoma
NCT06278103,Neoplasms by Site,Meningeal Neoplasms
NCT06278103,Neoplasms by Histologic Type,Meningioma
NCT02098343,Neoplasms by Site,Ovarian Neoplasms
NCT02098343,Neoplasms by Histologic Type,"Carcinoma, Ovarian Epithelial"
NCT03713203,Neoplasms by Histologic Type,"Paget Disease, Extramammary"
NCT03068403,Neoplasms by Site,Rectal Neoplasms
NCT04790903,Neoplasms by Histologic Type,Lymphoma
NCT00378690,Neoplasms by Site,Prostatic Neoplasms
NCT01942603,Neoplasms by Site,Skin Neoplasms
NCT01942603,Neoplasms by Histologic Type,Melanoma
NCT00558103,Neoplasms by Site,Breast Neoplasms
NCT00285103,Neoplasms by Histologic Type,Leukemia
NCT02778243,Neoplasms by Site,Urinary Bladder Neoplasms
NCT03737643,Neoplasms by Site,Ovarian Neoplasms
NCT03737643,Neoplasms by Histologic Type,"Carcinoma, Ovarian Epithelial"
NCT00418743,Neoplasms by Site,Lung Neoplasms
NCT04070443,Neoplasms by Histologic Type,Leukemia
NCT01356290,Neoplasms by Histologic Type,Ependymoma
NCT06022003,Neoplasms by Histologic Type,"Leukemia, Myeloid, Acute"
NCT06625203,Neoplasms by Histologic Type,"Lymphoma, Large B-Cell, Diffuse"
NCT03710603,Neoplasms by Histologic Type,Multiple Myeloma
NCT01556490,Neoplasms by Site,Liver Neoplasms
NCT01556490,Neoplasms by Histologic Type,Carcinoma
NCT04867590,Precancerous Conditions,Barrett Esophagus
NCT02888990,Neoplasms by Histologic Type,Leukemia
NCT03783403,Neoplasms by Site,Hematologic Neoplasms
NCT06271603,Neoplasms by Histologic Type,Carcinoma
NCT04805203,Neoplasms by Histologic Type,Multiple Myeloma
NCT02942290,Precancerous Conditions,Preleukemia
NCT03353090,Neoplastic Processes,Neoplasm Metastasis
NCT00002903,Neoplasms by Histologic Type,"Neoplasms, Germ Cell and Embryonal"
NCT01880203,Neoplasms by Site,Thyroid Nodule
NCT06083103,Neoplasms by Site,Uterine Cervical Neoplasms
NCT06789003,Neoplasms by Histologic Type,Multiple Myeloma
NCT00638690,Neoplasms by Site,Prostatic Neoplasms
NCT01095003,Neoplasms by Site,Breast Neoplasms
NCT04866290,Neoplasms by Site,Colorectal Neoplasms
NCT02840890,Neoplasms by Site,Breast Neoplasms
NCT04802590,Neoplasms by Histologic Type,Lymphoma
NCT01878890,Neoplasms by Histologic Type,Lymphoma
NCT00842790,Neoplasms by Site,Kidney Neoplasms
NCT00842790,Neoplasms by Histologic Type,Carcinoma
NCT04564703,Neoplasms by Histologic Type,Multiple Myeloma
NCT05203003,Neoplasms by Histologic Type,Multiple Myeloma
NCT05203003,Neoplastic Processes,"Neoplasm, Residual"
NCT00859703,Neoplasms by Site,Breast Neoplasms
NCT04189003,Neoplasms by Site,Oropharyngeal Neoplasms
NCT00003803,Neoplasms by Site,Lung Neoplasms
NCT02649790,Neoplasms by Site,Prostatic Neoplasms
NCT02649790,Neoplasms by Histologic Type,Multiple Myeloma
NCT02649790,Precancerous Conditions,Preleukemia
NCT04530890,Neoplasms by Site,Breast Neoplasms
NCT06424379,Neoplasms by Histologic Type,Lymphoma
NCT00224679,Neoplasms by Histologic Type,Adenoma
NCT04024384,Neoplasms by Histologic Type,Multiple Myeloma
NCT03256084,Neoplasms by Site,Colorectal Neoplasms
NCT04389684,Neoplasms by Site,Digestive System Neoplasms
NCT05408702,Neoplasms by Site,Myasthenia Gravis
NCT05408702,Paraneoplastic Syndromes,Paraneoplastic Syndromes
NCT04104802,Neoplasms by Site,Parotid Neoplasms
NCT03498521,Neoplastic Processes,"Neoplasms, Unknown Primary"
NCT02040064,Neoplasms by Site,"Carcinoma, Non-Small-Cell Lung"
NCT00044564,Neoplasms by Site,Kidney Neoplasms
NCT00044564,Neoplasms by Histologic Type,Carcinoma
NCT03280290,Neoplasms by Histologic Type,"Leukemia, Myeloid, Acute"
NCT00517790,Neoplasms by Site,Lung Neoplasms
NCT04741438,Neoplasms by Histologic Type,Sarcoma
NCT02952508,Neoplasms by Histologic Type,Lymphoma
NCT02813408,Neoplasms by Site,Prostatic Neoplasms
NCT01773408,Neoplasms by Histologic Type,Leukemia
NCT04522323,Neoplasms by Site,Kidney Neoplasms
NCT04522323,Neoplasms by Histologic Type,Carcinoma
NCT04077723,Neoplasms by Histologic Type,Lymphoma
NCT02873923,Neoplasms by Histologic Type,Sarcoma
NCT01196208,Neoplasms by Histologic Type,Lymphoma
NCT05070208,Neoplasms by Histologic Type,Leukemia
NCT00227708,Neoplasms by Site,Lung Neoplasms
NCT05635708,Neoplasms by Site,Lung Neoplasms
NCT01939223,Neoplasms by Site,Colorectal Neoplasms
NCT01939223,Neoplastic Processes,Neoplasm Metastasis
NCT00243503,Neoplasms by Site,Breast Neoplasms
NCT02164903,Neoplasms by Histologic Type,Leukemia
NCT04036643,Neoplasms by Site,Rectal Neoplasms
NCT00540943,Neoplasms by Site,Colorectal Neoplasms
NCT04001543,Neoplasms by Site,Head and Neck Neoplasms
NCT04001543,Neoplasms by Histologic Type,Carcinoma
NCT06627738,Neoplasms by Site,"Carcinoma, Non-Small-Cell Lung"
NCT03336138,Neoplasms by Histologic Type,Lymphoma
NCT01598038,Neoplasms by Site,Kidney Neoplasms
NCT01598038,Neoplasms by Histologic Type,Carcinoma
NCT03052608,Neoplasms by Site,"Carcinoma, Non-Small-Cell Lung"
NCT04872023,Neoplasms by Histologic Type,Multiple Myeloma
NCT03149523,Neoplasms by Site,Liver Neoplasms
NCT03149523,Neoplasms by Histologic Type,Adenocarcinoma
NCT02875223,Neoplasms by Histologic Type,Lymphoma
NCT03869723,Neoplasms by Site,Mandibular Neoplasms
NCT00541008,Neoplasms by Site,Kidney Neoplasms
NCT00541008,Neoplasms by Histologic Type,"Carcinoma, Renal Cell"
NCT02920008,Neoplasms by Histologic Type,Leukemia
NCT04975308,Neoplasms by Site,Breast Neoplasms
NCT04975308,Neoplastic Processes,Neoplasm Metastasis
NCT00169208,Neoplasms by Histologic Type,Lymphoma
NCT02625623,Neoplasms by Site,Stomach Neoplasms
NCT02625623,Neoplasms by Histologic Type,Adenocarcinoma
NCT01817738,Neoplasms by Site,Prostatic Neoplasms
NCT00090038,Neoplasms by Histologic Type,Lymphoma
NCT04749108,Neoplasms by Site,Rectal Neoplasms
NCT04749108,Neoplasms by Histologic Type,Carcinoma
NCT00162708,Neoplasms by Site,Mouth Neoplasms
NCT00101608,Neoplasms by Site,Urinary Bladder Neoplasms
NCT00101608,Neoplasms by Histologic Type,Carcinoma
NCT05984108,Neoplasms by Site,Central Nervous System Neoplasms
NCT00819208,Neoplasms by Site,Colonic Neoplasms
NCT00312208,Neoplasms by Site,Breast Neoplasms
NCT02842723,Neoplasms by Site,Adamantinoma
NCT02842723,Neoplasms by Histologic Type,Craniopharyngioma
NCT01103323,Neoplasms by Site,Colorectal Neoplasms
NCT00137423,Neoplasms by Site,Kidney Neoplasms
NCT00137423,Neoplasms by Histologic Type,Carcinoma
NCT04484623,Neoplasms by Histologic Type,Multiple Myeloma
NCT04755023,Neoplasms by Histologic Type,Oligodendroglioma
NCT05993923,Neoplasms by Site,Colorectal Neoplasms
NCT00025623,Neoplasms by Histologic Type,Neuroblastoma
NCT03132038,Neoplasms by Site,Salivary Gland Neoplasms
NCT03132038,Neoplasms by Histologic Type,Carcinoma
NCT01023308,Neoplasms by Histologic Type,Multiple Myeloma
NCT02892708,Neoplasms by Histologic Type,Glioma
NCT00811408,Neoplasms by Site,Uterine Cervical Neoplasms
NCT00811408,Precancerous Conditions,Precancerous Conditions
NCT04113408,Neoplasms by Site,Meningeal Neoplasms
NCT04113408,Neoplasms by Histologic Type,Meningioma
NCT02279108,Neoplasms by Site,Breast Neoplasms
NCT03888950,Neoplasms by Site,Skin Neoplasms
NCT03888950,Neoplasms by Histologic Type,Melanoma
NCT00369850,Neoplasms by Site,Breast Neoplasms
NCT04557150,Neoplasms by Histologic Type,Multiple Myeloma
NCT05075655,Neoplasms by Histologic Type,Lymphoma
NCT00707655,Neoplasms by Site,Head and Neck Neoplasms
NCT00707655,Neoplasms by Histologic Type,Carcinoma
NCT03164655,Neoplasms by Site,Colorectal Neoplasms
NCT03164655,Neoplastic Processes,Neoplasm Metastasis
NCT00863655,Neoplasms by Site,Breast Neoplasms
NCT02250755,Neoplasms by Site,Lung Neoplasms
NCT02663908,Neoplasms by Site,Prostatic Neoplasms
NCT02487823,Neoplasms by Site,Prostatic Neoplasms
NCT03465423,Neoplasms by Site,Pituitary Neoplasms
NCT02325323,Neoplasms by Site,Stomach Neoplasms
NCT05945823,Neoplasms by Site,Pancreatic Neoplasms
NCT05945823,Neoplasms by Histologic Type,Adenocarcinoma
NCT02990338,Neoplasms by Histologic Type,Multiple Myeloma
NCT00069108,Neoplasms by Site,Colorectal Neoplasms
NCT00887523,Neoplasms by Site,Breast Neoplasms
NCT03260023,Neoplasms by Histologic Type,Carcinoma
NCT03697850,Neoplasms by Site,Urinary Bladder Neoplasms
NCT05061550,Neoplasms by Site,Lung Neoplasms
NCT00290355,Neoplasms by Site,Lung Neoplasms
NCT02839655,Neoplasms by Site,Thyroid Neoplasms
NCT00213655,Neoplasms by Site,Urinary Bladder Neoplasms
NCT03068455,Neoplasms by Site,Skin Neoplasms
NCT03068455,Neoplasms by Histologic Type,Melanoma
NCT04419155,Neoplasms by Site,Lung Neoplasms
NCT02370238,Neoplasms by Site,Breast Neoplasms
NCT06614738,Neoplasms by Site,Colorectal Neoplasms
NCT06614738,Neoplasms by Histologic Type,Adenomatous Polyposis Coli
NCT06614738,"Neoplastic Syndromes, Hereditary","Neoplastic Syndromes, Hereditary"
NCT04365023,Neoplasms by Site,Digestive System Neoplasms
NCT04365023,Neoplasms by Histologic Type,Neuroendocrine Tumors
NCT01244750,Neoplasms by Histologic Type,Leukemia
NCT00949650,Neoplasms by Site,"Carcinoma, Non-Small-Cell Lung"
NCT00949650,Neoplasms by Histologic Type,Adenocarcinoma
NCT01267955,Neoplasms by Histologic Type,Chondrosarcoma
NCT00820755,Neoplasms by Site,Lung Neoplasms
NCT03594955,Neoplasms by Histologic Type,Leukemia
NCT02574455,Neoplasms by Site,Breast Neoplasms
NCT02577055,Neoplasms by Histologic Type,Leiomyoma
NCT02868255,Neoplasms by Site,Liver Neoplasms
NCT02868255,Neoplasms by Histologic Type,Carcinoma
NCT00415155,Neoplasms by Site,Liver Neoplasms
NCT00415155,Neoplasms by Histologic Type,Carcinoma
NCT01737450,Neoplasms by Site,Head and Neck Neoplasms
NCT01737450,Neoplastic Processes,Neoplasm Metastasis
NCT01626950,Neoplasms by Site,Breast Neoplasms
NCT06208150,Neoplasms by Histologic Type,Multiple Myeloma
NCT03580655,Neoplasms by Site,Hematologic Neoplasms
NCT03580655,Neoplasms by Histologic Type,Mastocytosis
NCT02072655,Neoplasms by Histologic Type,Lymphoma
NCT03260855,Neoplasms by Histologic Type,Lymphoma
NCT06815055,Neoplasms by Site,Prostatic Neoplasms
NCT05437250,Neoplasms by Histologic Type,Leukemia
NCT02739555,Neoplasms by Histologic Type,Osteoma
NCT01357655,Neoplasms by Histologic Type,Leukemia
NCT05937555,Neoplasms by Site,Urinary Bladder Neoplasms
NCT00006050,Neoplasms by Site,Colorectal Neoplasms
NCT01834950,Neoplasms by Site,Breast Neoplasms
NCT03673150,Neoplasms by Site,Breast Neoplasms
NCT03580850,Neoplasms by Histologic Type,Neurilemmoma
NCT02454855,Neoplastic Processes,Neoplasm Metastasis
NCT03344055,Neoplasms by Histologic Type,Adenoma
NCT00003650,Neoplasms by Histologic Type,Lymphoma
NCT06136650,Neoplasms by Site,Prostatic Neoplasms
NCT00304850,Neoplasms by Site,Breast Neoplasms
NCT00985855,Neoplasms by Site,"Carcinoma, Non-Small-Cell Lung"
NCT01296555,Neoplasms by Histologic Type,Lymphoma
NCT04696055,Neoplasms by Site,Liver Neoplasms
NCT04696055,Neoplasms by Histologic Type,Carcinoma
NCT01904955,Neoplasms by Site,Colorectal Neoplasms
NCT01400438,Neoplasms by Site,Breast Neoplasms
NCT00181038,Neoplasms by Site,Oropharyngeal Neoplasms
NCT00181038,Neoplasms by Histologic Type,Carcinoma
NCT03580408,Neoplasms by Histologic Type,Lymphoma
NCT02684708,Neoplasms by Histologic Type,Lymphoma
NCT04729608,Neoplasms by Site,Ovarian Neoplasms
NCT04729608,Neoplasms by Histologic Type,"Carcinoma, Ovarian Epithelial"
NCT04602208,Neoplasms by Site,Prostatic Neoplasms
NCT00885508,Neoplasms by Histologic Type,Leukemia
NCT00885508,Precancerous Conditions,Preleukemia
NCT03151408,Neoplasms by Histologic Type,Leukemia
NCT00162123,Neoplasms by Site,Skin Neoplasms
NCT00162123,Neoplasms by Histologic Type,Melanoma
NCT01219790,Neoplasms by Site,Prostatic Neoplasms
NCT01219790,Neoplasms by Histologic Type,Adenocarcinoma
NCT01219790,Neoplastic Processes,Neoplasm Metastasis
NCT02423603,Neoplasms by Site,Breast Neoplasms
NCT00784303,Neoplasms by Site,Thyroid Neoplasms
NCT01459003,Neoplasms by Site,Breast Neoplasms
NCT02913443,Neoplasms by Site,Lung Neoplasms
NCT01198743,Neoplasms by Site,Colorectal Neoplasms
NCT02451943,Neoplasms by Histologic Type,Sarcoma
NCT01573338,Neoplasms by Site,Small Cell Lung Carcinoma
NCT01969838,Neoplasms by Site,Polycythemia Vera
NCT06222138,Neoplasms by Histologic Type,Glioblastoma
NCT00743938,Neoplasms by Site,"Carcinoma, Non-Small-Cell Lung"
NCT02696408,Neoplasms by Site,Hematologic Neoplasms
NCT02889523,Neoplasms by Histologic Type,Lymphoma
NCT03356223,Neoplasms by Site,Head and Neck Neoplasms
NCT00317408,Neoplasms by Histologic Type,Lymphoma
